InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
540014,21627,ELEPHANT CARNIVAL POUFFE,1,2011-01-04 11:34:00,14.95,14606,United Kingdom
540014,84499,BLACK FLOWER CANDLE PLATE,6,2011-01-04 11:34:00,0.85,14606,United Kingdom
540014,22179,SET 10 LIGHTS NIGHT OWL,1,2011-01-04 11:34:00,6.75,14606,United Kingdom
540015,22727,ALARM CLOCK BAKELIKE RED ,4,2011-01-04 11:40:00,3.75,13319,United Kingdom
540015,21481,FAWN BLUE HOT WATER BOTTLE,6,2011-01-04 11:40:00,2.95,13319,United Kingdom
540015,22704,WRAP RED APPLES ,25,2011-01-04 11:40:00,0.42,13319,United Kingdom
540015,22961,JAM MAKING SET PRINTED,12,2011-01-04 11:40:00,1.45,13319,United Kingdom
540016,21527,RED RETROSPOT TRADITIONAL TEAPOT ,1,2011-01-04 11:42:00,7.95,16282,United Kingdom
540016,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,36,2011-01-04 11:42:00,0.85,16282,United Kingdom
540016,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2011-01-04 11:42:00,2.95,16282,United Kingdom
540017,82613C,"METAL SIGN,CUPCAKE SINGLE HOOK",20,2011-01-04 11:48:00,0.42,13963,United Kingdom
540017,22834,HAND WARMER BABUSHKA DESIGN,24,2011-01-04 11:48:00,0.85,13963,United Kingdom
540017,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,24,2011-01-04 11:48:00,1.25,13963,United Kingdom
540019,22303,COFFEE MUG APPLES DESIGN,6,2011-01-04 12:18:00,2.55,12957,United Kingdom
540019,20983,12 PENCILS TALL TUBE RED RETROSPOT,12,2011-01-04 12:18:00,0.85,12957,United Kingdom
540019,22427,ENAMEL FLOWER JUG CREAM,3,2011-01-04 12:18:00,5.95,12957,United Kingdom
540019,22487,WHITE WOOD GARDEN PLANT LADDER,1,2011-01-04 12:18:00,9.95,12957,United Kingdom
540019,22489,PACK OF 12 TRADITIONAL CRAYONS,24,2011-01-04 12:18:00,0.42,12957,United Kingdom
540019,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3,2011-01-04 12:18:00,4.95,12957,United Kingdom
540019,21985,PACK OF 12 HEARTS DESIGN TISSUES ,24,2011-01-04 12:18:00,0.29,12957,United Kingdom
540020,22469,HEART OF WICKER SMALL,24,2011-01-04 12:45:00,1.65,14462,United Kingdom
540021,20717,STRAWBERRY SHOPPER BAG,1,2011-01-04 12:51:00,1.25,17841,United Kingdom
540021,20996,JAZZ HEARTS ADDRESS BOOK,1,2011-01-04 12:51:00,0.42,17841,United Kingdom
540021,21809,CHRISTMAS HANGING TREE WITH BELL,1,2011-01-04 12:51:00,1.25,17841,United Kingdom
540021,72051S,BAG OF SILVER STONES,2,2011-01-04 12:51:00,0.42,17841,United Kingdom
540021,22179,SET 10 LIGHTS NIGHT OWL,3,2011-01-04 12:51:00,6.75,17841,United Kingdom
540021,84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,5,2011-01-04 12:51:00,0.42,17841,United Kingdom
540021,20723,STRAWBERRY CHARLOTTE BAG,1,2011-01-04 12:51:00,0.85,17841,United Kingdom
540021,22385,JUMBO BAG SPACEBOY DESIGN,1,2011-01-04 12:51:00,1.95,17841,United Kingdom
540021,21669,BLUE STRIPE CERAMIC DRAWER KNOB,1,2011-01-04 12:51:00,1.25,17841,United Kingdom
540021,22630,DOLLY GIRL LUNCH BOX,1,2011-01-04 12:51:00,1.95,17841,United Kingdom
540021,82494L,WOODEN FRAME ANTIQUE WHITE ,2,2011-01-04 12:51:00,2.95,17841,United Kingdom
540021,21935,SUKI  SHOULDER BAG,2,2011-01-04 12:51:00,1.65,17841,United Kingdom
540021,22589,CARDHOLDER GINGHAM STAR,2,2011-01-04 12:51:00,2.55,17841,United Kingdom
540021,22474,SPACEBOY TV DINNER TRAY,1,2011-01-04 12:51:00,4.95,17841,United Kingdom
540021,20712,JUMBO BAG WOODLAND ANIMALS,1,2011-01-04 12:51:00,1.95,17841,United Kingdom
540021,22355,CHARLOTTE BAG SUKI DESIGN,1,2011-01-04 12:51:00,0.85,17841,United Kingdom
540021,21640,ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,1,2011-01-04 12:51:00,0.85,17841,United Kingdom
540022,22423,REGENCY CAKESTAND 3 TIER,16,2011-01-04 12:57:00,10.95,17188,United Kingdom
540023,20676,RED RETROSPOT BOWL,3,2011-01-04 12:58:00,1.25,15039,United Kingdom
540023,22862,LOVE HEART NAPKIN BOX ,1,2011-01-04 12:58:00,4.25,15039,United Kingdom
540023,22670,FRENCH WC SIGN BLUE METAL,1,2011-01-04 12:58:00,1.25,15039,United Kingdom
540023,84406B,CREAM CUPID HEARTS COAT HANGER,2,2011-01-04 12:58:00,3.25,15039,United Kingdom
540023,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,2011-01-04 12:58:00,3.75,15039,United Kingdom
540023,21239,PINK  POLKADOT CUP,13,2011-01-04 12:58:00,0.85,15039,United Kingdom
540023,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,2,2011-01-04 12:58:00,3.75,15039,United Kingdom
540023,85099F,JUMBO BAG STRAWBERRY,10,2011-01-04 12:58:00,1.95,15039,United Kingdom
540023,21621,VINTAGE UNION JACK BUNTING,10,2011-01-04 12:58:00,8.5,15039,United Kingdom
540024,15056N,EDWARDIAN PARASOL NATURAL,4,2011-01-04 13:03:00,5.95,15039,United Kingdom
540025,22391,PAPERWEIGHT HOME SWEET HOME,12,2011-01-04 13:22:00,0.85,17428,United Kingdom
540025,21631,HIPPY CHIC DECORATIVE PARASOL,12,2011-01-04 13:22:00,3.95,17428,United Kingdom
540025,21199,PINK  HEART CONFETTI IN TUBE,96,2011-01-04 13:22:00,0.42,17428,United Kingdom
540027,84849B,FAIRY SOAP SOAP HOLDER,12,2011-01-04 13:30:00,1.69,14210,United Kingdom
540027,82613D,METAL SIGN CUPCAKE SINGLE HOOK,20,2011-01-04 13:30:00,0.42,14210,United Kingdom
540027,22115,METAL SIGN EMPIRE TEA,6,2011-01-04 13:30:00,2.95,14210,United Kingdom
540027,21873,IF YOU CAN'T STAND THE HEAT MUG,36,2011-01-04 13:30:00,0.42,14210,United Kingdom
540028,84968D,SET OF 16 VINTAGE RED CUTLERY,2,2011-01-04 13:38:00,12.75,14180,United Kingdom
540028,22635,CHILDS BREAKFAST SET DOLLY GIRL ,2,2011-01-04 13:38:00,9.95,14180,United Kingdom
540031,82486,WOOD S/3 CABINET ANT WHITE FINISH,12,2011-01-04 13:50:00,6.95,17975,United Kingdom
540031,21755,LOVE BUILDING BLOCK WORD,6,2011-01-04 13:50:00,5.95,17975,United Kingdom
540032,82001S,VINYL RECORD FRAME SILVER,24,2011-01-04 13:50:00,3.39,13397,United Kingdom
540031,21903,MAN FLU METAL SIGN,2,2011-01-04 13:50:00,2.1,17975,United Kingdom
540031,21114,LAVENDER SCENTED FABRIC HEART,5,2011-01-04 13:50:00,1.25,17975,United Kingdom
540031,82583,HOT BATHS METAL SIGN,3,2011-01-04 13:50:00,2.1,17975,United Kingdom
540031,21864,UNION JACK FLAG PASSPORT COVER ,1,2011-01-04 13:50:00,2.1,17975,United Kingdom
540031,21179,NO JUNK MAIL METAL SIGN,6,2011-01-04 13:50:00,1.25,17975,United Kingdom
540031,22366,DOORMAT AIRMAIL ,1,2011-01-04 13:50:00,7.95,17975,United Kingdom
540031,21907,I'M ON HOLIDAY METAL SIGN,2,2011-01-04 13:50:00,2.1,17975,United Kingdom
540031,21135,VICTORIAN  METAL POSTCARD SPRING,7,2011-01-04 13:50:00,1.69,17975,United Kingdom
540033,21059,PARTY INVITES DINOSAURS,5,2011-01-04 14:12:00,0.85,13680,United Kingdom
540033,20711,JUMBO BAG TOYS ,10,2011-01-04 14:12:00,1.95,13680,United Kingdom
540033,48185,DOORMAT FAIRY CAKE,1,2011-01-04 14:12:00,7.95,13680,United Kingdom
540033,21527,RED RETROSPOT TRADITIONAL TEAPOT ,1,2011-01-04 14:12:00,7.95,13680,United Kingdom
540033,21904,HOUSE WRECKING METAL SIGN ,2,2011-01-04 14:12:00,2.1,13680,United Kingdom
540033,84849B,FAIRY SOAP SOAP HOLDER,4,2011-01-04 14:12:00,1.69,13680,United Kingdom
540033,21905,MORE BUTTER METAL SIGN ,2,2011-01-04 14:12:00,2.1,13680,United Kingdom
540033,84849D,HOT BATHS SOAP HOLDER,4,2011-01-04 14:12:00,1.69,13680,United Kingdom
540033,85150,LADIES & GENTLEMEN METAL SIGN,12,2011-01-04 14:12:00,2.55,13680,United Kingdom
540033,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,72,2011-01-04 14:12:00,3.39,13680,United Kingdom
540033,22366,DOORMAT AIRMAIL ,1,2011-01-04 14:12:00,7.95,13680,United Kingdom
540059,20770,ABSTRACT CIRCLE JOURNAL ,36,2011-01-04 14:33:00,2.1,17457,United Kingdom
540060,22962,JAM JAR WITH PINK LID,12,2011-01-04 14:40:00,0.85,14732,United Kingdom
540060,84792,ENCHANTED BIRD COATHANGER 5 HOOK,4,2011-01-04 14:40:00,4.65,14732,United Kingdom
540073,22456,NATURAL SLATE CHALKBOARD LARGE ,5,2011-01-04 14:47:00,4.95,16814,United Kingdom
540073,M,Manual,6,2011-01-04 14:47:00,1.65,16814,United Kingdom
540093,79321,CHILLI LIGHTS,3,2011-01-04 15:24:00,4.95,16725,United Kingdom
540094,22469,HEART OF WICKER SMALL,12,2011-01-04 15:33:00,1.65,14221,United Kingdom
540094,22457,NATURAL SLATE HEART CHALKBOARD ,6,2011-01-04 15:33:00,2.95,14221,United Kingdom
540094,21671,RED SPOT CERAMIC DRAWER KNOB,12,2011-01-04 15:33:00,1.25,14221,United Kingdom
540094,22470,HEART OF WICKER LARGE,6,2011-01-04 15:33:00,2.95,14221,United Kingdom
540095,22292,HANGING CHICK  YELLOW DECORATION,4,2011-01-04 15:40:00,1.45,14553,United Kingdom
540095,21033,JUMBO BAG CHARLIE AND LOLA TOYS,1,2011-01-04 15:40:00,2.95,14553,United Kingdom
540095,22985,"WRAP, BILLBOARD FONTS DESIGN",25,2011-01-04 15:40:00,0.42,14553,United Kingdom
540095,22291,HANGING CHICK CREAM DECORATION,4,2011-01-04 15:40:00,1.45,14553,United Kingdom
540096,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,24,2011-01-04 15:43:00,4.25,13253,United Kingdom
540096,21618,4 WILDFLOWER BOTANICAL CANDLES,12,2011-01-04 15:43:00,1.25,13253,United Kingdom
540096,21615,4 LAVENDER BOTANICAL DINNER CANDLES,12,2011-01-04 15:43:00,1.25,13253,United Kingdom
540096,21876,POTTERING MUG,72,2011-01-04 15:43:00,0.42,13253,United Kingdom
C540097,22113,GREY HEART HOT WATER BOTTLE,-4,2011-01-04 15:46:00,3.75,15373,United Kingdom
540098,22276,WASH BAG VINTAGE ROSE PAISLEY,1,2011-01-04 15:50:00,2.55,16241,United Kingdom
540098,84992,72 SWEETHEART FAIRY CAKE CASES,1,2011-01-04 15:50:00,0.55,16241,United Kingdom
540098,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",1,2011-01-04 15:50:00,4.95,16241,United Kingdom
540098,22117,METAL SIGN HER DINNER IS SERVED ,1,2011-01-04 15:50:00,2.95,16241,United Kingdom
540098,21429,RED GINGHAM ROSE JEWELLERY BOX,2,2011-01-04 15:50:00,1.65,16241,United Kingdom
540098,22625,RED KITCHEN SCALES,1,2011-01-04 15:50:00,8.5,16241,United Kingdom
540098,22469,HEART OF WICKER SMALL,2,2011-01-04 15:50:00,1.65,16241,United Kingdom
540098,22084,PAPER CHAIN KIT EMPIRE,2,2011-01-04 15:50:00,2.95,16241,United Kingdom
540098,20727,LUNCH BAG  BLACK SKULL.,1,2011-01-04 15:50:00,1.65,16241,United Kingdom
540098,21213,PACK OF 72 SKULL CAKE CASES,1,2011-01-04 15:50:00,0.55,16241,United Kingdom
540099,22845,VINTAGE CREAM CAT FOOD CONTAINER,3,2011-01-04 16:41:00,6.35,15808,United Kingdom
540099,79321,CHILLI LIGHTS,2,2011-01-04 16:41:00,4.95,15808,United Kingdom
540099,21670,BLUE SPOT CERAMIC DRAWER KNOB,12,2011-01-04 16:41:00,1.25,15808,United Kingdom
540099,21658,GLASS  BEURRE DISH,2,2011-01-04 16:41:00,3.95,15808,United Kingdom
540113,85035B,CHOCOLATE 3 WICK MORRIS BOX CANDLE,12,2011-01-05 09:11:00,1.25,13126,United Kingdom
540113,10135,COLOURING PENCILS BROWN TUBE,20,2011-01-05 09:11:00,0.42,13126,United Kingdom
540114,21479,WHITE SKULL HOT WATER BOTTLE ,8,2011-01-05 09:44:00,3.75,15498,United Kingdom
540115,21107,CREAM SLICE FLANNEL PINK SPOT ,6,2011-01-05 09:51:00,2.95,15235,United Kingdom
540115,85187,S/12 MINI RABBIT EASTER,6,2011-01-05 09:51:00,1.65,15235,United Kingdom
540115,22021,BLUE FELT EASTER EGG BASKET,6,2011-01-05 09:51:00,1.65,15235,United Kingdom
540120,84879,ASSORTED COLOUR BIRD ORNAMENT,64,2011-01-05 10:08:00,1.69,17675,United Kingdom
540121,20705,MRS ROBOT SOFT TOY,24,2011-01-05 10:35:00,1.95,16145,United Kingdom
540121,22308,TEA COSY BLUE STRIPE,6,2011-01-05 10:35:00,2.55,16145,United Kingdom
540121,21632,VINTAGE PINK DECORATIVE PARASOL,12,2011-01-05 10:35:00,3.95,16145,United Kingdom
540121,20704,MR ROBOT SOFT TOY,24,2011-01-05 10:35:00,1.95,16145,United Kingdom
540122,22647,CERAMIC LOVE HEART MONEY BANK,72,2011-01-05 10:39:00,0.42,13694,United Kingdom
540122,22834,HAND WARMER BABUSHKA DESIGN,144,2011-01-05 10:39:00,0.85,13694,United Kingdom
540122,84926E,FLOWERS TILE COASTER,96,2011-01-05 10:39:00,0.42,13694,United Kingdom
540122,85159B,"WHITE TEA,COFFEE,SUGAR JARS",48,2011-01-05 10:39:00,1.25,13694,United Kingdom
540122,84826,ASSTD DESIGN 3D PAPER STICKERS,60,2011-01-05 10:39:00,0.21,13694,United Kingdom
540126,22378,WALL TIDY RETROSPOT ,150,2011-01-05 10:45:00,0.85,13798,United Kingdom
540126,84509G,SET OF 4 FAIRY CAKE PLACEMATS ,108,2011-01-05 10:45:00,1.25,13798,United Kingdom
540126,21110,LARGE CAKE TOWEL PINK SPOTS,96,2011-01-05 10:45:00,1.95,13798,United Kingdom
540130,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,2011-01-05 10:46:00,2.55,13798,United Kingdom
540146,22522,CHILDS GARDEN FORK BLUE ,3,2011-01-05 10:51:00,0.85,15002,United Kingdom
540146,21754,HOME BUILDING BLOCK WORD,3,2011-01-05 10:51:00,5.95,15002,United Kingdom
540146,22515,CHILDS GARDEN SPADE PINK,2,2011-01-05 10:51:00,2.1,15002,United Kingdom
540146,22470,HEART OF WICKER LARGE,8,2011-01-05 10:51:00,2.95,15002,United Kingdom
540148,21355,TOAST ITS - I LOVE YOU ,24,2011-01-05 10:58:00,1.25,14189,United Kingdom
540148,22615,PACK OF 12 CIRCUS PARADE TISSUES ,24,2011-01-05 10:58:00,0.29,14189,United Kingdom
540148,90125A,PINK BERTIE GLASS BEAD BAG CHARM,12,2011-01-05 10:58:00,0.85,14189,United Kingdom
540148,16161U,WRAP SUKI AND FRIENDS,25,2011-01-05 10:58:00,0.42,14189,United Kingdom
540148,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,24,2011-01-05 10:58:00,1.25,14189,United Kingdom
540149,84992,72 SWEETHEART FAIRY CAKE CASES,24,2011-01-05 11:00:00,0.55,12921,United Kingdom
540149,85099F,JUMBO BAG STRAWBERRY,20,2011-01-05 11:00:00,1.95,12921,United Kingdom
540149,21928,JUMBO BAG SCANDINAVIAN PAISLEY,10,2011-01-05 11:00:00,1.95,12921,United Kingdom
540149,21154,RED RETROSPOT OVEN GLOVE ,10,2011-01-05 11:00:00,1.25,12921,United Kingdom
C540151,21843,RED RETROSPOT CAKE STAND,-1,2011-01-05 11:13:00,10.95,12494,France
540153,22677,FRENCH BLUE METAL DOOR SIGN 2,10,2011-01-05 11:25:00,1.25,15841,United Kingdom
540157,84832,ZINC WILLIE WINKIE  CANDLE STICK,1,2011-01-05 11:41:00,0.85,15311,United Kingdom
540157,21447,12 IVORY ROSE PEG PLACE SETTINGS,3,2011-01-05 11:41:00,1.25,15311,United Kingdom
540157,84509A,SET OF 4 ENGLISH ROSE PLACEMATS,1,2011-01-05 11:41:00,3.75,15311,United Kingdom
540157,47580,TEA TIME DES TEA COSY,7,2011-01-05 11:41:00,2.55,15311,United Kingdom
540157,22719,GUMBALL MONOCHROME COAT RACK,36,2011-01-05 11:41:00,1.06,15311,United Kingdom
540157,22198,LARGE POPCORN HOLDER ,50,2011-01-05 11:41:00,1.45,15311,United Kingdom
540157,21989,PACK OF 20 SKULL PAPER NAPKINS,2,2011-01-05 11:41:00,0.85,15311,United Kingdom
540157,20829,GLITTER HANGING BUTTERFLY STRING,14,2011-01-05 11:41:00,2.1,15311,United Kingdom
540157,15056BL,EDWARDIAN PARASOL BLACK,1,2011-01-05 11:41:00,5.95,15311,United Kingdom
540157,21258,VICTORIAN SEWING BOX LARGE,8,2011-01-05 11:41:00,10.95,15311,United Kingdom
540159,84817,DANISH ROSE DECORATIVE PLATE,48,2011-01-05 11:47:00,0.42,16112,United Kingdom
540160,22379,RECYCLING BAG RETROSPOT ,600,2011-01-05 11:50:00,1.85,15769,United Kingdom
540163,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,24,2011-01-05 11:52:00,0.95,13089,United Kingdom
540163,22029,SPACEBOY BIRTHDAY CARD,12,2011-01-05 11:52:00,0.42,13089,United Kingdom
540161,37370,RETRO COFFEE MUGS ASSORTED,4,2011-01-05 11:52:00,1.25,16719,United Kingdom
540161,22451,SILK PURSE BABUSHKA RED,3,2011-01-05 11:52:00,3.35,16719,United Kingdom
540163,84050,PINK HEART SHAPE EGG FRYING PAN,24,2011-01-05 11:52:00,1.65,13089,United Kingdom
540163,22037,ROBOT BIRTHDAY CARD,12,2011-01-05 11:52:00,0.42,13089,United Kingdom
540163,82581,TOILET METAL SIGN,12,2011-01-05 11:52:00,0.55,13089,United Kingdom
540163,22032,BOTANICAL LILY GREETING CARD,12,2011-01-05 11:52:00,0.42,13089,United Kingdom
540163,21495,SKULLS AND CROSSBONES WRAP,25,2011-01-05 11:52:00,0.42,13089,United Kingdom
540163,21498,RED RETROSPOT WRAP ,25,2011-01-05 11:52:00,0.42,13089,United Kingdom
540163,84378,SET OF 3 HEART COOKIE CUTTERS,24,2011-01-05 11:52:00,1.25,13089,United Kingdom
540163,22460,EMBOSSED GLASS TEALIGHT HOLDER,24,2011-01-05 11:52:00,1.25,13089,United Kingdom
540163,22855,FINE WICKER HEART ,24,2011-01-05 11:52:00,1.25,13089,United Kingdom
540163,16156S,WRAP PINK FAIRY CAKES ,25,2011-01-05 11:52:00,0.42,13089,United Kingdom
540163,84970S,HANGING HEART ZINC T-LIGHT HOLDER,24,2011-01-05 11:52:00,0.85,13089,United Kingdom
540163,21506,"FANCY FONT BIRTHDAY CARD, ",24,2011-01-05 11:52:00,0.42,13089,United Kingdom
540161,79321,CHILLI LIGHTS,3,2011-01-05 11:52:00,4.95,16719,United Kingdom
540163,21985,PACK OF 12 HEARTS DESIGN TISSUES ,48,2011-01-05 11:52:00,0.29,13089,United Kingdom
C540165,84817,DANISH ROSE DECORATIVE PLATE,-1,2011-01-05 12:05:00,2.1,18109,United Kingdom
C540165,82486,WOOD S/3 CABINET ANT WHITE FINISH,-1,2011-01-05 12:05:00,7.95,18109,United Kingdom
540167,84916,HAND TOWEL PALE BLUE W FLOWERS,10,2011-01-05 12:13:00,1.25,16600,United Kingdom
540167,22222,CAKE PLATE LOVEBIRD WHITE,12,2011-01-05 12:13:00,1.95,16600,United Kingdom
540168,22195,LARGE HEART MEASURING SPOONS,3,2011-01-05 12:15:00,1.65,13715,United Kingdom
540168,21870,I CAN ONLY PLEASE ONE PERSON MUG,6,2011-01-05 12:15:00,1.25,13715,United Kingdom
540168,21445,12 PINK ROSE PEG PLACE SETTINGS,4,2011-01-05 12:15:00,1.25,13715,United Kingdom
540168,84987,SET OF 36 TEATIME PAPER DOILIES,2,2011-01-05 12:15:00,1.45,13715,United Kingdom
540168,22569,FELTCRAFT CUSHION BUTTERFLY,2,2011-01-05 12:15:00,3.75,13715,United Kingdom
540168,21383,PACK OF 12 STICKY BUNNIES,12,2011-01-05 12:15:00,0.65,13715,United Kingdom
540169,22220,CAKE STAND LOVEBIRD 2 TIER WHITE,1,2011-01-05 12:20:00,9.95,14527,United Kingdom
540169,21630,FLOOR CUSHION ELEPHANT CARNIVAL,1,2011-01-05 12:20:00,8.95,14527,United Kingdom
540169,22686,FRENCH BLUE METAL DOOR SIGN No,3,2011-01-05 12:20:00,1.25,14527,United Kingdom
540169,48188,DOORMAT WELCOME PUPPIES,1,2011-01-05 12:20:00,7.95,14527,United Kingdom
540169,21527,RED RETROSPOT TRADITIONAL TEAPOT ,1,2011-01-05 12:20:00,7.95,14527,United Kingdom
540169,22625,RED KITCHEN SCALES,2,2011-01-05 12:20:00,8.5,14527,United Kingdom
540169,21164,HOME SWEET HOME METAL SIGN ,1,2011-01-05 12:20:00,2.95,14527,United Kingdom
540169,84968E,SET OF 16 VINTAGE BLACK CUTLERY,1,2011-01-05 12:20:00,12.75,14527,United Kingdom
540169,21936,RED RETROSPOT PICNIC BAG,2,2011-01-05 12:20:00,2.95,14527,United Kingdom
540169,22680,FRENCH BLUE METAL DOOR SIGN 5,1,2011-01-05 12:20:00,1.25,14527,United Kingdom
540170,22730,ALARM CLOCK BAKELIKE IVORY,8,2011-01-05 12:21:00,3.75,13767,United Kingdom
540170,21314,SMALL GLASS HEART TRINKET POT,24,2011-01-05 12:21:00,2.1,13767,United Kingdom
540172,21259,VICTORIAN SEWING BOX SMALL ,2,2011-01-05 12:29:00,5.95,18109,United Kingdom
540176,20676,RED RETROSPOT BOWL,72,2011-01-05 12:40:00,1.06,17511,United Kingdom
540176,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,12,2011-01-05 12:40:00,5.95,17511,United Kingdom
540176,21955,DOORMAT UNION JACK GUNS AND ROSES,10,2011-01-05 12:40:00,6.75,17511,United Kingdom
540176,22970,LONDON BUS COFFEE MUG,36,2011-01-05 12:40:00,2.1,17511,United Kingdom
540176,21245,GREEN POLKADOT PLATE ,96,2011-01-05 12:40:00,1.45,17511,United Kingdom
540178,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,2011-01-05 12:42:00,1.65,12681,France
540178,20682,RED RETROSPOT CHILDRENS UMBRELLA,6,2011-01-05 12:42:00,3.25,12681,France
540178,22037,ROBOT BIRTHDAY CARD,12,2011-01-05 12:42:00,0.42,12681,France
540178,20975,12 PENCILS SMALL TUBE RED RETROSPOT,24,2011-01-05 12:42:00,0.65,12681,France
540178,22904,CALENDAR PAPER CUT DESIGN,6,2011-01-05 12:42:00,2.95,12681,France
540179,21755,LOVE BUILDING BLOCK WORD,2,2011-01-05 12:54:00,5.95,16033,United Kingdom
540179,22727,ALARM CLOCK BAKELIKE RED ,4,2011-01-05 12:54:00,3.75,16033,United Kingdom
540179,48138,DOORMAT UNION FLAG,1,2011-01-05 12:54:00,7.95,16033,United Kingdom
540179,21872,GLAMOROUS  MUG,4,2011-01-05 12:54:00,1.25,16033,United Kingdom
540179,22845,VINTAGE CREAM CAT FOOD CONTAINER,1,2011-01-05 12:54:00,6.35,16033,United Kingdom
540179,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,8,2011-01-05 12:54:00,1.45,16033,United Kingdom
540179,21174,POTTERING IN THE SHED METAL SIGN,2,2011-01-05 12:54:00,1.95,16033,United Kingdom
540179,48187,DOORMAT NEW ENGLAND,1,2011-01-05 12:54:00,7.95,16033,United Kingdom
540179,22429,ENAMEL MEASURING JUG CREAM,2,2011-01-05 12:54:00,4.25,16033,United Kingdom
540179,79071B,ENGLISH ROSE METAL WASTE BIN,1,2011-01-05 12:54:00,2.95,16033,United Kingdom
540179,21165,BEWARE OF THE CAT METAL SIGN ,6,2011-01-05 12:54:00,1.69,16033,United Kingdom
540179,22763,KEY CABINET MA CAMPAGNE,1,2011-01-05 12:54:00,9.95,16033,United Kingdom
540179,22852,DOG BOWL VINTAGE CREAM,1,2011-01-05 12:54:00,4.25,16033,United Kingdom
540179,22644,CERAMIC CHERRY CAKE MONEY BANK,4,2011-01-05 12:54:00,1.45,16033,United Kingdom
